title,label,label_score,title_cleaned,label_encoded,label_score_normalized
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",non-clickbait,0,masuk radar pilwalkot medan menantu jokowi bertemu dpw nasdem sumut,1,0.0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,non-clickbait,0,malaysia sudutkan ri isu kabut asap hingga invasi babi,1,0.0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,clickbait,1,viral driver ojol di bekasi antar pesanan makanan pakai sepeda,0,1.0
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",non-clickbait,0,kemensos salurkan rp bagi korban kerusuhan sosial di papua,1,0.0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,non-clickbait,0,mpr amandemen uud tak akan melebar ke manamana,1,0.0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",non-clickbait,0,peringati tahun baru islam banyuwangi kembali gelar festival muharam,1,0.0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",non-clickbait,0,wanita asal kendari nyaris diperkosa di jalanan makassar pelaku diburu,1,0.0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,non-clickbait,0,hnw sebut gbhn jamin rencana pembangunan ri jangka panjang,1,0.0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",clickbait,1,ada motor nyangkut di atas bambu di sleman kok bisa,0,1.0
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,non-clickbait,0,jakpro jawab protes adhi karya soal tender proyek jis diberi ke wika,1,0.0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,clickbait,1,pesan gamblang poyuono menolak revisi uu kpk,0,1.0
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,non-clickbait,0,lokasi istana presiden ri di papua menit lewat jembatan holtekamp,1,0.0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,non-clickbait,0,hiasan taman asia afrika di bandung rusak diterjang angin kencang,1,0.0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",non-clickbait,0,polemik pb djarum dan kpai fadli zon mestinya bisa dimusyawarahkan,1,0.0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,non-clickbait,0,pengacara ajukan penangguhan penahanan kivlan zen,1,0.0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,non-clickbait,0,eksepsi bassist boomerang hubert henry dalam kasus ganja ditolak hakim,1,0.0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",non-clickbait,0,jenguk bj habibie di rspad kepala bppt beliau semangat recovery,1,0.0
JK Jenguk Habibie di RSPAD Gatot Soebroto,non-clickbait,0,jk jenguk habibie di rspad gatot soebroto,1,0.0
"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",non-clickbait,0,sebuah mobil tertimpa pohon di pondok indah pengemudi terluka,1,0.0
Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan,non-clickbait,0,demokrat akan bangun museum dan art gallery sbyani di pacitan,1,0.0
Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan,non-clickbait,0,mendagri jamin pelaksanaan uu otsus di papua dilanjutkan,1,0.0
"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi",non-clickbait,0,tegaskan dukung pemerintah pd kami tak pernah kenal oposisi,1,0.0
"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",non-clickbait,0,peredaran snack tanpa izin dibongkar omzet sebulan capai rp miliar,1,0.0
"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam",non-clickbait,0,mayat pria ditemukan di kalimalang bekasi diduga korban tenggelam,1,0.0
"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat",non-clickbait,0,pesan anak habibie ke penjenguk mohon dimengerti bapak perlu istirahat,1,0.0
KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan,non-clickbait,0,kpk curhat pencegahan korupsi tak dianggap banyak uang negara diselamatkan,1,0.0
ACT Inisiasi Gerakan Nasional #IndonesiaDermawan,non-clickbait,0,act inisiasi gerakan nasional indonesiadermawan,1,0.0
Demokrat Dukung Langkah Jokowi Bangun Istana di Papua,non-clickbait,0,demokrat dukung langkah jokowi bangun istana di papua,1,0.0
